Inference for Stan model: Matern32Poisson_SDE_reparametrized_model
1 chains: each with iter=(1000); warmup=(0); thin=(1); 1000 iterations saved.

Warmup took (64) seconds, 1.1 minutes total
Sampling took (56) seconds, 56 seconds total

                    Mean     MCSE   StdDev        5%       50%       95%  N_Eff  N_Eff/s    R_hat
x_shock[35]    -4.3e-001 3.0e-002 9.6e-001 -2.0e+000 -4.3e-001  1.0e+000   1000 1.8e+001 1.0e+000
x_shock[36]    -7.5e-001 3.0e-002 9.4e-001 -2.4e+000 -7.2e-001  7.7e-001   1000 1.8e+001 1.0e+000
x_shock[37]    -7.2e-001 2.8e-002 8.9e-001 -2.2e+000 -7.0e-001  7.3e-001   1000 1.8e+001 1.0e+000
x_shock[38]    -8.0e-001 2.9e-002 9.3e-001 -2.3e+000 -8.1e-001  6.9e-001   1000 1.8e+001 1.0e+000
x_shock[39]    -8.4e-001 3.0e-002 9.6e-001 -2.4e+000 -8.6e-001  7.5e-001   1000 1.8e+001 1.0e+000
x_shock[40]    -6.9e-001 3.2e-002 1.0e+000 -2.4e+000 -6.9e-001  8.7e-001   1000 1.8e+001 1.0e+000
x_shock[41]    -4.8e-001 3.0e-002 9.6e-001 -2.1e+000 -4.6e-001  1.0e+000   1000 1.8e+001 1.0e+000
x_shock[42]    -3.1e-001 2.8e-002 9.0e-001 -1.8e+000 -3.2e-001  1.1e+000   1000 1.8e+001 1.0e+000
x_shock[43]    -1.8e-001 3.1e-002 9.8e-001 -1.8e+000 -1.8e-001  1.4e+000   1000 1.8e+001 1.0e+000
x_shock[44]    -7.0e-002 2.9e-002 9.3e-001 -1.6e+000 -8.7e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[45]     8.3e-002 2.9e-002 9.1e-001 -1.5e+000  1.1e-001  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[46]     1.5e-001 3.1e-002 9.7e-001 -1.5e+000  1.3e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[47]     2.4e-001 3.0e-002 9.3e-001 -1.2e+000  2.1e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[48]     4.5e-001 3.0e-002 9.5e-001 -1.1e+000  4.5e-001  2.1e+000   1000 1.8e+001 1.0e+000
x_shock[49]     4.4e-001 3.0e-002 9.5e-001 -1.1e+000  4.4e-001  2.0e+000   1000 1.8e+001 1.0e+000
x_shock[50]     3.3e-001 3.1e-002 9.9e-001 -1.3e+000  3.5e-001  2.0e+000   1000 1.8e+001 1.0e+000
x_shock[51]     2.5e-001 2.8e-002 8.8e-001 -1.2e+000  2.2e-001  1.7e+000   1000 1.8e+001 1.0e+000
x_shock[52]     2.3e-001 3.0e-002 9.4e-001 -1.3e+000  2.3e-001  1.7e+000   1000 1.8e+001 1.0e+000
x_shock[53]     1.8e-001 2.9e-002 9.0e-001 -1.3e+000  2.2e-001  1.7e+000   1000 1.8e+001 1.0e+000
x_shock[54]     1.4e-001 2.9e-002 9.3e-001 -1.4e+000  1.1e-001  1.6e+000   1000 1.8e+001 1.0e+000
x_shock[55]    -2.1e-002 2.9e-002 9.1e-001 -1.5e+000 -4.0e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[56]     2.5e-002 2.9e-002 9.1e-001 -1.4e+000  1.3e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[57]    -7.6e-002 3.1e-002 9.9e-001 -1.7e+000 -6.0e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[58]    -1.1e-001 3.1e-002 9.7e-001 -1.7e+000 -9.2e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[59]     5.8e-002 2.8e-002 9.0e-001 -1.4e+000  4.7e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[60]     1.3e-001 3.1e-002 9.7e-001 -1.5e+000  1.4e-001  1.7e+000   1000 1.8e+001 1.0e+000
x_shock[61]     6.0e-002 3.0e-002 9.5e-001 -1.5e+000  7.5e-002  1.6e+000   1000 1.8e+001 1.0e+000
x_shock[62]    -7.0e-002 2.8e-002 9.0e-001 -1.6e+000 -3.7e-002  1.3e+000   1000 1.8e+001 1.0e+000
x_shock[63]    -4.0e-002 2.7e-002 8.7e-001 -1.5e+000 -4.9e-002  1.4e+000   1000 1.8e+001 1.0e+000
x_shock[64]     2.0e-001 2.9e-002 9.1e-001 -1.3e+000  1.9e-001  1.8e+000   1000 1.8e+001 1.0e+000
